GAME_DATE_EST,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,PTS_home,PTS_away,HOME_TEAM_WINS,date_numeric,pts_home_z,pts_away_z,date_z
2022-12-20,1610612743,1610612763,2022,105.0,91.0,1,738509,0.11677254838542717,-0.7168800741981763,1.7551273999663781
2022-12-19,1610612739,1610612762,2022,122.0,99.0,1,738508,1.3968078269708373,-0.1212816323436639,1.754635382412535
2022-12-19,1610612755,1610612761,2022,104.0,101.0,1,738508,0.041476355527461865,0.027617978119964193,1.754635382412535
2022-12-19,1610612737,1610612753,2022,126.0,125.0,1,738508,1.6979925984026987,1.8144133036835013,1.754635382412535
2022-12-19,1610612745,1610612759,2022,105.0,124.0,0,738508,0.11677254838542717,1.7399634984516874,1.754635382412535
2022-12-19,1610612750,1610612742,2022,116.0,106.0,1,738508,0.9450306698230455,0.39986700427903443,1.754635382412535
2022-12-19,1610612740,1610612749,2022,119.0,128.0,0,738508,1.1709192483969415,2.0377627193789434,1.754635382412535
2022-12-19,1610612760,1610612757,2022,123.0,121.0,1,738508,1.4721040198288027,1.516614082756245,1.754635382412535
2022-12-19,1610612756,1610612747,2022,130.0,104.0,1,738508,1.9991773698345598,0.25096739381540634,1.754635382412535
2022-12-19,1610612758,1610612766,2022,119.0,125.0,0,738508,1.1709192483969415,1.8144133036835013,1.754635382412535
2022-12-18,1610612738,1610612753,2022,92.0,95.0,0,738507,-0.8620779587681218,-0.4190808532709201,1.7541433648586917
2022-12-18,1610612754,1610612752,2022,106.0,109.0,0,738507,0.19206874124339246,0.6232164199744766,1.7541433648586917
2022-12-18,1610612765,1610612751,2022,121.0,124.0,0,738507,1.321511634112872,1.7399634984516874,1.7541433648586917
2022-12-18,1610612761,1610612744,2022,110.0,126.0,0,738507,0.4932535126752537,1.8888631089153154,1.7541433648586917
2022-12-18,1610612750,1610612741,2022,150.0,126.0,1,738507,3.5051012269938657,1.8888631089153154,1.7541433648586917
2022-12-18,1610612743,1610612766,2022,119.0,115.0,1,738507,1.1709192483969415,1.069915251365361,1.7541433648586917
2022-12-18,1610612747,1610612764,2022,119.0,117.0,1,738507,1.1709192483969415,1.218814861828989,1.7541433648586917
2022-12-17,1610612746,1610612764,2022,102.0,93.0,1,738506,-0.10911603018846874,-0.5679804637345482,1.7536513473048485
2022-12-17,1610612759,1610612748,2022,101.0,111.0,0,738506,-0.18441222304643407,0.7721160304381047,1.7536513473048485
2022-12-17,1610612739,1610612742,2022,100.0,99.0,1,738506,-0.25970841590439936,-0.1212816323436639,1.7536513473048485
2022-12-17,1610612745,1610612757,2022,95.0,107.0,0,738506,-0.6361893801942259,0.4743168095108485,1.7536513473048485
2022-12-17,1610612749,1610612762,2022,123.0,97.0,1,738506,1.4721040198288027,-0.270181242807292,1.7536513473048485
2022-12-17,1610612760,1610612763,2022,115.0,109.0,1,738506,0.8697344769650802,0.6232164199744766,1.7536513473048485
2022-12-17,1610612756,1610612740,2022,118.0,114.0,1,738506,1.095623055538976,0.9954654461335468,1.7536513473048485
2022-12-16,1610612766,1610612737,2022,106.0,125.0,0,738505,0.19206874124339246,1.8144133036835013,1.7531593297510053
2022-12-16,1610612765,1610612758,2022,113.0,122.0,0,738505,0.7191420912491496,1.5910638879880592,1.7531593297510053
2022-12-16,1610612738,1610612753,2022,109.0,117.0,0,738505,0.4179573198172884,1.218814861828989,1.7531593297510053
2022-12-16,1610612739,1610612754,2022,118.0,112.0,1,738505,1.095623055538976,0.8465658356699187,1.7531593297510053
2022-12-16,1610612755,1610612744,2022,118.0,106.0,1,738505,1.095623055538976,0.39986700427903443,1.7531593297510053
2022-12-16,1610612761,1610612751,2022,116.0,119.0,0,738505,0.9450306698230455,1.3677144722926171,1.7531593297510053
2022-12-16,1610612741,1610612752,2022,91.0,114.0,0,738505,-0.9373741516260871,0.9954654461335468,1.7531593297510053
2022-12-16,1610612760,1610612750,2022,110.0,112.0,0,738505,0.4932535126752537,0.8465658356699187,1.7531593297510053
2022-12-16,1610612742,1610612757,2022,130.0,110.0,1,738505,1.9991773698345598,0.6976662252062906,1.7531593297510053
2022-12-16,1610612747,1610612743,2022,126.0,108.0,1,738505,1.6979925984026987,0.5487666147426625,1.7531593297510053
2022-12-15,1610612745,1610612748,2022,108.0,111.0,0,738504,0.3426611269593231,0.7721160304381047,1.752667312197162
